Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunenburg Maintenance Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
752276,  55,00752,     ,55-752, ,055,Lunenburg County,055,Lunenburg County,0.30,55-622,Dead End,30,R,,,,,,,X,,,,,,06/04/2007,,,,,,,,,,,,,,,
752277,  55,00753,     ,55-753,Pine Lane,055,Lunenburg County,055,Lunenburg County,0.40,Dead End,SR 138,20,R,,,,,,,X,,,,,,04/23/2007,,,,,,,,,,,,,,,
752278,  55,00754,     ,55-754,Firetower Lane,055,Lunenburg County,055,Lunenburg County,0.35,SR 40,Dead End,20,R,,,,,,,X,,,,,,04/23/2007,,,,,,,,,,,,,,,
752279,  55,00755,     ,55-755, ,055,Lunenburg County,055,Lunenburg County,0.80,SR 40 SOUTH,SR 40 NORTH,340,R,,,,,,,X,,,,,,05/05/2004,,,,,,,,,,,,,,,
752280,  55,00756,     ,55-756,Dusty Lane,055,Lunenburg County,055,Lunenburg County,0.25,Dead End,55-646,40,R,,,,,,,X,,,,,,06/14/2007,,,,,,,,,,,,,,,
752281,  55,00757,     ,55-757,Lea Rd,247,Town of Kenbridge,055,Lunenburg County,0.11,Dead End,SR 40,60,R,,,,,,,X,,,,,,05/25/2004,,,,,,,,,,,,,,,
752282,  55,00758,     ,55-758,Elsaesser Rd,055,Lunenburg County,055,Lunenburg County,1.50,55-683,Dead End,30,R,,,,,,,X,,,,,,05/29/2007,,,,,,,,,,,,,,,
752283,  55,00759,     ,55-759,Whitehead Rd,055,Lunenburg County,055,Lunenburg County,0.80,Dead End,SR 40,80,R,,,,,,,X,,,,,,06/04/2007,,,,,,,,,,,,,,,
752284,  55,00760,     ,55-760,Burns Rd,055,Lunenburg County,055,Lunenburg County,0.50,Dead End,55-630; 55-632,60,R,,,,,,,X,,,,,,06/14/2007,,,,,,,,,,,,,,,
752285,  55,00761,     ,55-761,Tinkling Rd,247,Town of Kenbridge,055,Lunenburg County,0.25,SR 40,NCL Kenbridge,40,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
785161,  55,00761,     ,55-761, ,055,Lunenburg County,055,Lunenburg County,0.45,NCL Kenbridge,Dead End,40,R,,,,,,,X,,,,,,03/27/2001,,,,,,,,,,,,,,,
752286,  55,00762,     ,55-762,Oak Grove Rd,055,Lunenburg County,055,Lunenburg County,0.15,SR 40,Dead End,40,R,,,,,,,X,,,,,,04/20/2004,,,,,,,,,,,,,,,
752287,  55,00763,     ,55-763,Elliott Hurt Rd,055,Lunenburg County,055,Lunenburg County,0.10,SR 40,Dead End,46,R,,,,,,,X,,,,,,04/02/2007,,,,,,,,,,,,,,,
752288,  55,00764,     ,55-764, ,055,Lunenburg County,055,Lunenburg County,1.65,Dead End,55-683,40,R,,,,,,,X,,,,,,04/02/2007,,,,,,,,,,,,,,,
752289,  55,00765,     ,55-765,Coper Lane,055,Lunenburg County,055,Lunenburg County,0.20,Dead End,55-602,80,R,,,,,,,X,,,,,,04/23/2007,,,,,,,,,,,,,,,
752290,  55,00766,     ,55-766, ,055,Lunenburg County,055,Lunenburg County,0.60,Dead End,55-626 Kings Rd,60,R,,,,,,,X,,,,,,05/04/2004,,,,,,,,,,,,,,,
752291,  55,00767,     ,55-767,Martin Rd,055,Lunenburg County,055,Lunenburg County,0.80,Dead End,55-622,90,R,,,,,,,X,,,,,,06/04/2007,,,,,,,,,,,,,,,
752292,  55,00768,     ,55-768,Jackson Rd,055,Lunenburg County,055,Lunenburg County,0.50,Dead End,55-683,80,R,,,,,,,X,,,,,,05/29/2007,,,,,,,,,,,,,,,
752293,  55,00769,     ,55-769,Powell Lane,055,Lunenburg County,055,Lunenburg County,0.35,55-629 Tidewater Rd,Dead End,90,R,,,,,,,X,,,,,,06/04/2007,,,,,,,,,,,,,,,
752294,  55,00770,     ,55-770, ,055,Lunenburg County,055,Lunenburg County,0.19,Dead End,55-659 Old Mansion Rd,180,R,,,,,,,X,,,,,,05/05/2004,,,,,,,,,,,,,,,
752295,  55,00771,     ,55-771,Arrowhead Rd,055,Lunenburg County,055,Lunenburg County,0.81,Dead End,SR 49 Courthouse Rd,50,R,,,,,,,X,,,,,,06/14/2007,,,,,,,,,,,,,,,
752296,  55,00772,     ,55-772,Epps Lane,055,Lunenburg County,055,Lunenburg County,0.30,Dead End,55-710 Dogwood Lane,30,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
784261,  55,00775,     ,55-775,Pamplin Rd,055,Lunenburg County,055,Lunenburg County,0.31,55-622,Dead End,30,R,,,,,,,X,,,,,,06/14/2007,,,,,,,,,,,,,,,
752297,  55,01001,     ,55-1001,6th St,317,Town of Victoria,055,Lunenburg County,0.05,55-1055 Firehouse Rd,SR 40,820,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
404177,  55,01001,     ,55-1001,6th St,317,Town of Victoria,055,Lunenburg County,0.08,SR 40,55-662 Washington Ave,730,G,96%,2%,2%,0%,0%,0%,F,0.1027,F,0.5394,790,G,2008,,,,,,,,,,,,,,,
404178,  55,01001,     ,55-1001,6th St,317,Town of Victoria,055,Lunenburg County,0.27,55-662 Washington Ave,55-1010 Marshall St,400,G,96%,2%,2%,0%,0%,0%,C,0.1173,F,0.5603,430,G,2008,,,,,,,,,,,,,,,
404179,  55,01001,     ,55-1001,6th St,317,Town of Victoria,055,Lunenburg County,0.79,55-1010 Marshall St,55-653 Poorhouse Rd,280,G,96%,2%,2%,0%,0%,0%,F,0.1250,F,0.5366,300,G,2008,,,,,,,,,,,,,,,
404180,  55,01002,     ,55-1002,8th St,317,Town of Victoria,055,Lunenburg County,0.07,SR 40; SR 49,55-662 Washington Ave,980,F,95%,1%,1%,1%,1%,0%,C,0.1353,F,0.5870,1000,F,2008,,,,,,,,,,,,,,,
404181,  55,01002,     ,55-1002,8th St,317,Town of Victoria,055,Lunenburg County,0.07,55-662 Washington Ave,55-1020 Lee Ave,840,G,95%,1%,1%,1%,1%,0%,F,0.1332,F,0.5656,900,G,2008,,,,,,,,,,,,,,,
404182,  55,01002,     ,55-1002,8th St,317,Town of Victoria,055,Lunenburg County,0.08,55-1020 Lee Ave,55-1019 Jefferson Ave,660,G,95%,1%,1%,1%,1%,0%,F,0.1085,F,0.5200,720,G,2008,,,,,,,,,,,,,,,
404183,  55,01002,     ,55-1002,8th St,317,Town of Victoria,055,Lunenburg County,0.61,55-1019 Jefferson Ave,55-653 Poorhouse Rd,240,G,95%,1%,1%,1%,1%,0%,F,0.1007,F,0.5357,250,G,2008,,,,,,,,,,,,,,,
752298,  55,01003,     ,55-1003,11th St,317,Town of Victoria,055,Lunenburg County,0.21,55-1021 Main St,55-1019 Jefferson Ave,140,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752299,  55,01003,     ,55-1003,11th St,317,Town of Victoria,055,Lunenburg County,0.17,55-1019 Jefferson Ave,55-653,330,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752300,  55,01004,     ,55-1004,10th St,317,Town of Victoria,055,Lunenburg County,0.07,55-1021 Main St,55-662,60,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752301,  55,01004,     ,55-1004,10th St,317,Town of Victoria,055,Lunenburg County,0.15,55-662,55-1019 Jefferson Ave,200,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752302,  55,01004,     ,55-1004,10th St,317,Town of Victoria,055,Lunenburg County,0.22,55-1019 Jefferson Ave,Dead End,130,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752303,  55,01005,     ,55-1005,9th St,317,Town of Victoria,055,Lunenburg County,0.12,55-1035 Garrison Ave,55-1041 Gap,20,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752304,  55,01005,     ,55-1005,9th St,317,Town of Victoria,055,Lunenburg County,0.20,SR 49 Gap,55-1019 Jefferson Ave,150,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752305,  55,01005,     ,55-1005,9th St,317,Town of Victoria,055,Lunenburg County,0.18,55-1019 Jefferson Ave,55-1006 Stuart Ave,70,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752306,  55,01005,     ,55-1005,9th St,317,Town of Victoria,055,Lunenburg County,0.06,55-1006 Stuart Ave,Dead End,40,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752307,  55,01006,     ,55-1006,Stuart Ave,317,Town of Victoria,055,Lunenburg County,0.20,55-1001 6th St,55-1005 9th St,80,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752308,  55,01006,     ,55-1006,Stuart Ave,317,Town of Victoria,055,Lunenburg County,0.15,55-1005 9th St,55-1003 11th St,90,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752309,  55,01007,     ,55-1007,Wilson Ave,317,Town of Victoria,055,Lunenburg County,0.30,55-1001 6th St,55-653,70,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752310,  55,01008,     ,55-1008,Old Court St,317,Town of Victoria,055,Lunenburg County,0.03,SR 40 WEST,55-667,150,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752311,  55,01008,     ,55-1008,Old Court St,317,Town of Victoria,055,Lunenburg County,0.40,55-667,55-1023 Grove Ave,46,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752312,  55,01008,     ,55-1008,Old Court St,317,Town of Victoria,055,Lunenburg County,0.03,55-1023 Grove Ave,55-1022 Elmore St,230,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752313,  55,01008,     ,55-1008,Old Court St,317,Town of Victoria,055,Lunenburg County,0.07,55-1022 Elmore St,SR 40 EAST,70,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752314,  55,01009,     ,55-1009,Twin Cemetery Rd,055,Lunenburg County,055,Lunenburg County,0.61,55-734 Mecklenburg St,Dead End; Gap,140,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752315,  55,01009,     ,55-1009,Twin Cemetery Rd,317,Town of Victoria,055,Lunenburg County,0.16,Dead End; Gap,SR 40,350,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752316,  55,01010,     ,55-1010,Marshall St,317,Town of Victoria,055,Lunenburg County,0.06,"55-1011, 1st St",55-1012; Gap,60,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752317,  55,01010,     ,55-1010,Marshall St,317,Town of Victoria,055,Lunenburg County,0.07,55-1014; Gap,"55-1001, 6th St",60,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752318,  55,01010,     ,55-1010,Marshall St,317,Town of Victoria,055,Lunenburg County,0.20,"55-1001, 6th St","55-1005, 9th St",80,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752319,  55,01010,     ,55-1010,Marshall St,317,Town of Victoria,055,Lunenburg County,0.07,"55-1005, 9th St","55-1004, 10th St",70,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752320,  55,01010,     ,55-1010,Marshall St,317,Town of Victoria,055,Lunenburg County,0.08,"55-1004, 10th St","55-1003, 11th St",60,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752321,  55,01010,     ,55-1010,Marshall St,317,Town of Victoria,055,Lunenburg County,0.10,"55-1003, 11th St",Dead End,40,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752322,  55,01011,     ,55-1011,1st St,317,Town of Victoria,055,Lunenburg County,0.08,SR 40,55-662,250,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752323,  55,01011,     ,55-1011,1st St,317,Town of Victoria,055,Lunenburg County,0.16,55-662,55-1019 Jefferson Ave,160,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752324,  55,01011,     ,55-1011,1st St,317,Town of Victoria,055,Lunenburg County,0.08,55-1019 Jefferson Ave,55-1010 Marshall St,80,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752325,  55,01011,     ,55-1011,1st St,317,Town of Victoria,055,Lunenburg County,0.50,55-1010 Marshall St,Dead End,20,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752326,  55,01012,     ,55-1012,2nd St,317,Town of Victoria,055,Lunenburg County,0.32,SR 40,55-1010 Marshall St,190,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752327,  55,01013,     ,55-1013,4th St,317,Town of Victoria,055,Lunenburg County,0.18,SR 40,55-1020 Lee Ave,200,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752328,  55,01013,     ,55-1013,4th St,317,Town of Victoria,055,Lunenburg County,0.08,55-1020 Lee Ave,55-1019 Jefferson Ave,46,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752329,  55,01014,     ,55-1014,5th St,317,Town of Victoria,055,Lunenburg County,0.26,Dead End,55-1019 Jefferson Ave,100,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752330,  55,01014,     ,55-1014, ,317,Town of Victoria,055,Lunenburg County,0.07,55-1019 Jefferson Ave,55-1010 Marshall St,260,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752331,  55,01015,     ,55-1015,7th St,317,Town of Victoria,055,Lunenburg County,0.02,Dead End,SR 40,200,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752332,  55,01015,     ,55-1015,7th St,317,Town of Victoria,055,Lunenburg County,0.07,SR 40,55-662,360,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752333,  55,01015,     ,55-1015,7th St,317,Town of Victoria,055,Lunenburg County,0.08,55-662,55-1020 Lee Ave,330,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752334,  55,01016,     ,55-1016,12th St,317,Town of Victoria,055,Lunenburg County,0.14,55-1021 Main St,55-1020 Lee Ave,110,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752335,  55,01016,     ,55-1016,12th St,317,Town of Victoria,055,Lunenburg County,0.08,55-1020 Lee Ave,55-1019 Jefferson Ave,130,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752336,  55,01017,     ,55-1017,13th St,317,Town of Victoria,055,Lunenburg County,0.20,55-662,SR 49,250,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752337,  55,01018,     ,55-1018,14th St,317,Town of Victoria,055,Lunenburg County,0.23,55-1021 Main St,55-1019 Jefferson Ave,180,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752338,  55,01019,     ,55-1019,Jefferson Ave,317,Town of Victoria,055,Lunenburg County,0.07,"55-1011, 1st St",55-1012; Gap,20,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752339,  55,01019,     ,55-1019,Jefferson Ave,317,Town of Victoria,055,Lunenburg County,0.07,55-1013; Gap,"55-1014, 5th St",30,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752340,  55,01019,     ,55-1019,Jefferson Ave,317,Town of Victoria,055,Lunenburg County,0.06,"55-1014, 5th St",55-1001; Gap,70,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752341,  55,01019,     ,55-1019,Jefferson Ave,317,Town of Victoria,055,Lunenburg County,0.08,55-1002; Gap,"55-1005, 9th St",90,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752342,  55,01019,     ,55-1019,Jefferson Ave,317,Town of Victoria,055,Lunenburg County,0.16,"55-1005, 9th St",55-1003; Gap,130,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752343,  55,01019,     ,55-1019,Jefferson Ave,317,Town of Victoria,055,Lunenburg County,0.22,SR 49; Gap,55-1046 Sandy Lane,190,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752344,  55,01019,     ,55-1019,Jefferson Ave,317,Town of Victoria,055,Lunenburg County,0.16,55-1046 Sandy Lane,55-1045 Kelly Dr,70,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752345,  55,01020,     ,55-1020,Lee Ave,317,Town of Victoria,055,Lunenburg County,0.03,Dead End,"55-1011, 1st St",20,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752346,  55,01020,     ,55-1020,Lee Ave,317,Town of Victoria,055,Lunenburg County,0.18,"55-1011, 1st St","55-1013, 4th St",70,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752347,  55,01020,     ,55-1020,Lee Ave,317,Town of Victoria,055,Lunenburg County,0.20,"55-1013, 4th St",55-1015; Gap,120,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752348,  55,01020,     ,55-1020,Lee Ave,317,Town of Victoria,055,Lunenburg County,0.40,55-1002; Gap,"55-1018, 14th St",140,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752349,  55,01020,     ,55-1020,Lee Ave,317,Town of Victoria,055,Lunenburg County,0.07,"55-1018, 14th St",Dead End,49,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
404184,  55,01021,     ,55-1021,Main St,317,Town of Victoria,055,Lunenburg County,0.21,SR 49,"55-1016, 12th St",230,G,95%,2%,1%,1%,0%,0%,C,0.1193,F,0.6897,250,G,2008,,,,,,,,,,,,,,,
752350,  55,01021,     ,55-1021,Main St,317,Town of Victoria,055,Lunenburg County,0.07,"55-1016, 12th St",Thirteenth St,170,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752351,  55,01021,     ,55-1021,Main St,317,Town of Victoria,055,Lunenburg County,0.13,Thirteenth St,Dead End,110,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752352,  55,01022,     ,55-1022,Elmore St,317,Town of Victoria,055,Lunenburg County,0.04,SR 40,55-1008 Old Court St,160,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752353,  55,01023,     ,55-1023,Grove Ave,317,Town of Victoria,055,Lunenburg County,0.15,Dead End,55-1008 Old Court St,47,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752354,  55,01024,     ,55-1024,Tidewater Ave,317,Town of Victoria,055,Lunenburg County,0.20,"55-1047, W Twelfth St","55-1036, W Ninth St",270,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
404185,  55,01024,     ,55-1024,Tidewater Ave,317,Town of Victoria,055,Lunenburg County,0.20,"55-1036, W Ninth St","55-661, W Sixth St",300,G,85%,2%,2%,1%,9%,0%,F,0.1269,F,0.5275,330,G,2008,,,,,,,,,,,,,,,
404186,  55,01024,     ,55-1024,Tidewater Ave,317,Town of Victoria,055,Lunenburg County,0.38,"55-661, W Sixth St",SR 40; SR 49,1200,G,85%,2%,2%,1%,9%,0%,C,0.1127,F,0.5621,1300,G,2008,,,,,,,,,,,,,,,
752355,  55,01025,     ,55-1025,Lunenburg Ave,317,Town of Victoria,055,Lunenburg County,0.04,Dead End,"55-1047, W Twelfth St",40,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752356,  55,01025,     ,55-1025,Lunenburg Ave,317,Town of Victoria,055,Lunenburg County,0.19,"55-1047, W Twelfth St","55-1036, W Ninth St",48,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752357,  55,01025,     ,55-1025,Lunenburg Ave,317,Town of Victoria,055,Lunenburg County,0.07,"55-1036, W Ninth St",55-1040; Gap,60,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752358,  55,01025,     ,55-1025,Lunenburg Ave,317,Town of Victoria,055,Lunenburg County,0.07,55-661; Gap,"55-1029, W Fifth St",90,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752359,  55,01025,     ,55-1025,Lunenburg Ave,317,Town of Victoria,055,Lunenburg County,0.32,"55-1029, W Fifth St",SR 40; SR 49,120,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752360,  55,01026,     ,55-1026,Virginia Ave,317,Town of Victoria,055,Lunenburg County,0.06,"55-1047, W Twelfth St","55-1042, W Eleventh St",50,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752361,  55,01026,     ,55-1026,Virginia Ave,317,Town of Victoria,055,Lunenburg County,0.06,"55-1042, W Eleventh St",55-1037; Gap,80,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752362,  55,01026,     ,55-1026,Virginia Ave,317,Town of Victoria,055,Lunenburg County,0.13,55-1029; Gap,"55-1031, W Third St",80,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752363,  55,01026,     ,55-1026,Virginia Ave,317,Town of Victoria,055,Lunenburg County,0.20,"55-1031, W Third St",SR 40; SR 49,90,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752364,  55,01027,     ,55-1027,Park Ave,317,Town of Victoria,055,Lunenburg County,0.33,"55-1042, W Eleventh St",9th St; Gap,110,R,,,,,,,X,,,,,,05/02/2007,,,,,,,,,,,,,,,
752365,  55,01027,     ,55-1027,Park Ave,317,Town of Victoria,055,Lunenburg County,0.27,55-661; Gap,"55-1032, W Second St",130,R,,,,,,,X,,,,,,05/02/2007,,,,,,,,,,,,,,,
752366,  55,01027,     ,55-1027,Park Ave,317,Town of Victoria,055,Lunenburg County,0.12,"55-1032, W Second St",SR 40; SR 49,180,R,,,,,,,X,,,,,,05/02/2007,,,,,,,,,,,,,,,
752367,  55,01028,     ,55-1028,Norfolk Ave,317,Town of Victoria,055,Lunenburg County,0.32,"55-661, W Sixth St","55-1033, W First St",270,R,,,,,,,X,,,,,,05/02/2007,,,,,,,,,,,,,,,
752368,  55,01028,     ,55-1028,Norfolk Ave,317,Town of Victoria,055,Lunenburg County,0.05,"55-1033, W First St",SR 40; SR 49,330,R,,,,,,,X,,,,,,05/02/2007,,,,,,,,,,,,,,,
752369,  55,01029,     ,55-1029,W Fifth St,317,Town of Victoria,055,Lunenburg County,0.19,55-1027 Park Ave,55-734,30,R,,,,,,,X,,,,,,05/02/2007,,,,,,,,,,,,,,,
752370,  55,01029,     ,55-1029,W Fifth St,317,Town of Victoria,055,Lunenburg County,0.05,55-734,55-1024 Tidewater Ave,70,R,,,,,,,X,,,,,,05/02/2007,,,,,,,,,,,,,,,
752371,  55,01030,     ,55-1030,W Fourth St,317,Town of Victoria,055,Lunenburg County,0.13,55-1027 Park Ave,55-1025 Lunenburg Ave,30,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752372,  55,01030,     ,55-1030,W Fourth St,317,Town of Victoria,055,Lunenburg County,0.07,55-1025 Lunenburg Ave,55-734,60,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752373,  55,01031,     ,55-1031,W Third St,317,Town of Victoria,055,Lunenburg County,0.19,55-1028 Norfolk Ave,55-1025 Lunenburg Ave,40,R,,,,,,,X,,,,,,05/02/2007,,,,,,,,,,,,,,,
752374,  55,01031,     ,55-1031,W Third St,317,Town of Victoria,055,Lunenburg County,0.12,55-1025 Lunenburg Ave,55-1024 Tidewater Ave,70,R,,,,,,,X,,,,,,05/02/2007,,,,,,,,,,,,,,,
752375,  55,01032,     ,55-1032,W Second St,317,Town of Victoria,055,Lunenburg County,0.07,55-1028 Norfolk Ave,55-1027 Park Ave,30,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752376,  55,01032,     ,55-1032,W Second St,317,Town of Victoria,055,Lunenburg County,0.12,55-1027 Park Ave,55-1025 Lunenburg Ave,40,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752377,  55,01032,     ,55-1032,W Second St,317,Town of Victoria,055,Lunenburg County,0.12,55-1025 Lunenburg Ave,55-1024 Tidewater Ave,60,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752378,  55,01033,     ,55-1033,W First St,317,Town of Victoria,055,Lunenburg County,0.35,55-1044 Roanoke Ave,55-734,160,R,,,,,,,X,,,,,,05/02/2007,,,,,,,,,,,,,,,
752379,  55,01033,     ,55-1033,W First St,317,Town of Victoria,055,Lunenburg County,0.07,55-734,55-1024 Tidewater Ave,49,R,,,,,,,X,,,,,,05/02/2007,,,,,,,,,,,,,,,
752380,  55,01034,     ,55-1034,Washington Ave Ext,317,Town of Victoria,055,Lunenburg County,0.10,Dead End,0.10 ME Dead End,20,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752381,  55,01034,     ,55-1034,Washington Ave Ext,317,Town of Victoria,055,Lunenburg County,0.10,0.10 ME Dead End,55-662,49,R,,,,,,,X,,,,,,05/22/2007,,,,,,,,,,,,,,,
752382,  55,01035,     ,55-1035,Garrison Ave,317,Town of Victoria,055,Lunenburg County,0.09,Dead End,55-1008 Old Court St,80,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752383,  55,01036,     ,55-1036,W Ninth St,317,Town of Victoria,055,Lunenburg County,0.04,Dead End,55-1025 Lunenburg Ave,8,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752384,  55,01036,     ,55-1036,W Ninth St,317,Town of Victoria,055,Lunenburg County,0.12,55-1025 Lunenburg Ave,55-1024 Tidewater Ave,90,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752385,  55,01037,     ,55-1037,W Tenth St,317,Town of Victoria,055,Lunenburg County,0.06,55-1026 Virginia Ave,55-1025 Lunenburg Ave,90,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752386,  55,01037,     ,55-1037,W Tenth St,317,Town of Victoria,055,Lunenburg County,0.11,55-1025 Lunenburg Ave,55-1024 Tidewater Ave,120,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752387,  55,01037,     ,55-1037,W Tenth St,317,Town of Victoria,055,Lunenburg County,0.05,55-1024 Tidewater Ave,Dead End,40,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752388,  55,01038,     ,55-1038,3rd St,317,Town of Victoria,055,Lunenburg County,0.08,SR 40,55-662,90,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752389,  55,01038,     ,55-1038,3rd St,317,Town of Victoria,055,Lunenburg County,0.09,55-662,55-1020 Lee Ave,60,R,,,,,,,X,,,,,,04/16/2007,,,,,,,,,,,,,,,
752390,  55,01039,     ,55-1039,W Seventh St,317,Town of Victoria,055,Lunenburg County,0.05,55-734,55-1024 Tidewater Ave,80,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
752391,  55,01039,     ,55-1039,W Seventh St,317,Town of Victoria,055,Lunenburg County,0.07,55-1024 Tidewater Ave,Dead End,40,R,,,,,,,X,,,,,,05/16/2007,,,,,,,,,,,,,,,
